                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8607,                 6.4035,                0.75398,                 3.3879,                 1.7467,                0.27543,                0.90909,                0.55166,                0.29882,                      0,                      0,                      0,                      0,                 1.4809,                  7.579,                0.68333,                 2.4773,                 1.3923,                0.00058,                0.00058,                0.00058
                      2,                 1.1045,                 3.7817,                0.72165,                 1.0802,                 1.1323,                      1,                0.99484,                  0.995,                0.65279,                      1,                0.99484,                  0.995,                0.31882,                 1.0704,                 3.7926,                 0.6336,                 1.1203,                 1.2036,              0.0011683,              0.0011683,              0.0011683
                      3,                 1.0745,                 1.9506,                0.64543,                0.85066,                 1.1172,                0.99111,                0.99174,                 0.9869,                0.63553,                0.99937,                      1,                  0.995,                0.67058,                 1.2912,                 1.2932,                0.50352,                0.74964,                 1.2632,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.0583,                 1.2355,                0.54531,                0.82551,                 1.1001,                0.99926,                      1,                  0.995,                0.63293,                0.99926,                      1,                  0.995,                0.90723,                 1.1782,                0.51137,                0.31802,                0.81591,                 1.2189,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0209,                 1.0113,                0.45664,                 0.7932,                 1.0934,                0.99954,                      1,                  0.995,                0.73444,                0.99954,                      1,                  0.995,                0.86202,                0.96797,                0.59481,                0.21133,                0.90881,                 1.1036,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0483,                0.86728,                 0.4106,                0.73229,                 1.0957,                0.99944,                      1,                  0.995,                0.62058,                0.99944,                      1,                  0.995,                0.87515,                 1.1614,                0.46117,                0.12949,                0.75078,                 1.1766,               0.001901,               0.001901,               0.001901
                      7,                 0.9901,                0.75975,                0.37572,                0.72205,                 1.0597,                0.99937,                      1,                  0.995,                0.75592,                0.99937,                      1,                  0.995,                0.79201,                0.87634,                0.85402,                0.08972,                0.63817,                 1.0747,              0.0018812,              0.0018812,              0.0018812
                      8,                0.93382,                0.72796,                0.36805,                0.69685,                 1.0425,                0.99946,                      1,                  0.995,                0.71035,                0.99946,                      1,                  0.995,                0.88966,                0.92813,                0.44274,                  0.084,                0.56218,                 1.0626,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0123,                0.75911,                0.33002,                 0.6954,                 1.0761,                0.99883,                      1,                  0.995,                0.74784,                0.99883,                      1,                  0.995,                0.94231,                 1.0133,                0.35442,                0.08457,                0.67336,                 1.1093,              0.0018416,              0.0018416,              0.0018416
                     10,                0.97312,                 0.6217,                0.34929,                0.67776,                 1.0557,                0.99941,                      1,                  0.995,                  0.783,                0.99941,                      1,                  0.995,                0.96877,                0.79996,                0.26886,                0.08753,                 0.5033,                 1.0316,              0.0018218,              0.0018218,              0.0018218
                     11,                0.93821,                0.53522,                0.29736,                 0.6146,                  1.038,                0.99946,                      1,                  0.995,                0.77342,                0.99946,                      1,                  0.995,                0.96695,                0.91096,                0.25947,                0.07699,                0.52389,                 1.0592,               0.001802,               0.001802,               0.001802
                     12,                0.92263,                0.51914,                0.31676,                0.66284,                 1.0459,                0.99948,                      1,                  0.995,                0.75599,                0.99948,                      1,                  0.995,                 0.9101,                0.84912,                0.30761,                0.07223,                 0.4704,                 1.0377,              0.0017822,              0.0017822,              0.0017822
                     13,                0.90665,                0.49666,                0.33112,                0.63568,                 1.0414,                0.99944,                      1,                  0.995,                 0.7565,                0.99944,                      1,                  0.995,                0.91173,                0.85845,                0.27462,                0.07036,                0.46494,                 1.0516,              0.0017624,              0.0017624,              0.0017624
                     14,                0.92298,                0.49655,                0.29972,                0.62985,                 1.0329,                0.99951,                      1,                  0.995,                0.73441,                0.99951,                      1,                  0.995,                0.96651,                0.85868,                0.31515,                0.06613,                0.61472,                 1.0588,              0.0017426,              0.0017426,              0.0017426
                     15,                0.92254,                0.49862,                0.29355,                0.62465,                 1.0337,                0.99937,                      1,                  0.995,                0.74812,                0.99937,                      1,                  0.995,                 0.9727,                0.86876,                0.22476,                0.07823,                 0.4883,                 1.0534,              0.0017228,              0.0017228,              0.0017228
                     16,                0.87473,                0.45857,                0.30522,                0.57941,                  1.019,                0.99909,                      1,                  0.995,                0.75227,                0.99909,                      1,                  0.995,                0.96971,                0.89008,                0.19524,                0.07778,                0.42288,                 1.0491,               0.001703,               0.001703,               0.001703
